Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
7/8/2023 0:00,cheetah-20,2.000002,435.600517,9896.300019,5799.199999,103.3041795,4140,11700,11720,11580,,,,,,,,,,,11700,11720,11580
7/9/2023 0:00,cheetah-20,2.047590882,441.9842078,9710.192663,5747.317368,102.8986444,4080,8840,8890,8380,,,,,,,,,,,8840,8890,8380
7/10/2023 0:00,cheetah-20,2.059525082,469.6452163,9165.957348,5548.331047,101.9082009,3946.613404,8440,8490,8150,,,,,,,,,,,8440,8490,8150
7/11/2023 0:00,cheetah-20,2.056634467,475.1146341,8890.139654,5600.929965,101.2478595,3699.600824,8210,8250,7930,,,,,,,,,,,8210,8250,7930
7/31/2023 0:00,cheetah-20,2.041229512,757.4197621,6503,4729.460911,105.8609752,2727.262939,6420,6460,6070,,,,,,,,6410,1090,,6420,6460,6070
8/16/2023 0:00,cheetah-20,2.049563806,835.0736263,5733.853486,4308.082155,103.32892,2486.584867,5910,5930,5590,,,,,,,,5910,1040,,5910,5930,5590
9/19/2023 0:00,cheetah-20,2.01544454,1007.921465,5000.218529,3240.11253,105.220297,3520.058152,5620,5640,5360,,,,,,,,5620,1110,,5620,5640,5360
9/28/2023 0:00,cheetah-20,2.070635026,1059.791189,4677.373456,3105.805616,107.1303839,3359.936627,5550,5570,5300,,,,,,,,5540,1090,,5550,5570,5300
10/6/2023 0:00,cheetah-20,2.034231439,1033.29231,4808.638996,2992.316173,107.1219048,3777.207697,5550,5570,5320,,,,,,,,5560,1140,,5550,5570,5320
10/21/2023 0:00,cheetah-20,2.046719382,1052.954504,4502.262691,2764.614255,106.55993,3859.500333,5470,5490,5260,,,,,,,,5460,1080,,5470,5490,5260
12/17/2023 0:00,cheetah-20,2.06364146,1979.999171,1742.883033,608.2661786,95.84798182,6510,4880,8010,8330,,,,,,,,5440,1160,,4880,8010,8330
12/18/2023 0:00,cheetah-20,2.035986686,1922.723501,1601.191644,608.4528246,95.49401534,6200,4850,8980,9450,,,,,,,,4810,1340,,4850,8980,9450
12/19/2023 0:00,cheetah-20,2.035199039,2237.482206,1413.108165,525.6762375,95.24234533,6280,4220,9210,9640,,,,,,,,,,,4220,9210,9640
12/21/2023 0:00,cheetah-20,2.037364783,1198.317283,2291.328839,1737.440557,97.98635383,2415,9180,4070,9850,,,,,,,,9060,1040,,9180,4070,9850
12/22/2023 0:00,cheetah-20,2.055583513,1137.530056,2131.424889,1630.54004,96.95625924,2350,9680,3960,9930,,,,,,,,9640,1030,,9680,3960,9930
12/25/2023 0:00,cheetah-20,2.016511966,1171.968749,2401.283281,1434.791483,97.0819368,4024.897045,10260,8480,4110,,,,,,,,10250,950,,10260,8480,4110
12/26/2023 0:00,cheetah-20,2.032562282,1056.795826,2325.652055,1405.344408,96.82403228,3957.202649,10370,8960,4160,,,,,,,,10360,990,,10370,8960,4160
12/27/2023 0:00,cheetah-20,2.034715533,1035.390427,3413.931234,2090.370821,101.3574486,3885.682483,9620,8570,4570,,,,,,,,10130,1010,,9620,8570,4570
2/3/2024 0:00,cheetah-20,2.028693056,1250.272328,3819.640774,1932.480506,103.2192459,4940.674739,5450,5470,5280,,,,,,,,5440,1000,,5450,5470,5280
3/12/2024 0:00,cheetah-20,2.039079837,1342.333554,3624.394459,1738.946532,102.7506267,5202.104652,5430,5440,5290,,,,,,,,5520,1070,,5430,5440,5290
3/21/2024 0:00,cheetah-20,2.06208823,1466.418791,3568.378455,1649.746894,102.7141194,5376.7603,,,,,,,,,,,,1080,,,,
3/25/2024 0:00,cheetah-20,2.025193488,1397.062047,3080.085072,1757.444175,100.953776,4294.170018,8170,4900,4710,,,,,,,,8760,1040,,8170,4900,4710
4/26/2024 0:00,cheetah-20,2.010364879,1432.303505,2678.805218,1396.705005,98.82678961,4786.089727,10850,4660,4540,,,,,,,,10860,980,,10850,4660,4540
5/13/2024 0:00,cheetah-20,1.02221943,1282.1376,3143.774762,923.5640313,93.78463487,7062.244909,11140,5030,4900,,,,,,,,5820,1010,,11140,5030,4900
6/6/2024 0:00,cheetah-20,2.04443886,1202.244379,3533.087125,1221.223934,100.7308807,6543.464991,11510,5890,5710,,,,,,,,5720,1060,,11510,5890,5710
7/15/2024 0:00,cheetah-20,2.044438839,931.8815918,3058.034668,1161.047729,98.16599274,6203.287888,,,,,,,,,,,5800,1040,,,,
7/22/2024 0:00,cheetah-20,2.044438839,952.4795532,3085.609619,1176.244629,97.89504242,6187.966919,12250,5990,5790,,,,,,,,5810,1030,,12250,5990,5790
7/27/2024 0:00,cheetah-20,2.044438839,893.949646,3051.641846,1182.587524,97.348526,6124.749756,12360,6040,5800,,,,,,,,5840,1040,,12360,6040,5800
8/9/2024 0:00,cheetah-20,1.277774334,729.1206665,3065.05542,1235.495239,92.36573792,5969.093323,12680,5980,5910,,,,,,,,5890,990,,12680,5980,5910
8/20/2024 0:00,cheetah-20,1,340.192627,6525.460938,3028.807129,100.7046509,5358.477783,12970,8150,8990,,,,,,,,10100,2570,,12970,8150,8990
8/21/2024 0:00,cheetah-20,1.299999952,446.0073547,7347.23877,4187.821777,106.8980484,4300.141907,13010,8470,8260,,,,,,,,7770,1190,,13010,8470,8260
9/3/2024 0:00,cheetah-20,1.266120076,530.7405396,4959.755859,2361.159668,99.6598587,5239.363098,13340,7140,7020,,,,,,,,6990,1120,,13340,7140,7020
9/12/2024 0:00,cheetah-20,1.275955319,480.9740295,4721.217285,2251.177246,98.63214874,5231.786346,13570,7150,7000,,,,,,,,7010,1060,,13570,7150,7000
9/18/2024 0:00,cheetah-20,1.052753925,483.7194824,4653.32666,2143.607178,96.75326538,5393.387604,13710,7150,6990,,,,,,,,7010,1050,,13710,7150,6990
10/1/2024 0:00,cheetah-20,1.035961747,493.4214783,4862.833008,2178.296875,98.06572723,5520.518875,14010,7010,6830,,,,,1207.169329,,,6880,1090,0,14010,7010,6830
10/15/2024 0:00,cheetah-20,1.03106761,419.7347107,4662.882324,2168.402344,95.54927826,5349.652481,14300,7090,6920,,,,,,,,6970,1080,,14300,7090,6920
11/12/2024 0:00,cheetah-20,1.012055397,386.8060303,4481.967773,1885.864014,95.53611755,5792.33017,14810,7310,7200,,,,,,,,7130,1080,,14810,7310,7200
11/26/2024 0:00,cheetah-20,1.01286447,405.9281311,4646.794434,1751.449585,95.74036407,6230.843353,15070,7290,7190,,,,,,,,7140,1040,,15070,7290,7190
11/29/2024 0:00,cheetah-20,1.034307837,426.3666382,4763.27002,1833.871094,95.00591278,6149.974442,15110,7250,7070,,,,,,,,7130,1030,,15110,7250,7070
12/26/2024 0:00,cheetah-20,1.049669147,412.7181091,4777.42334,1827.671143,95.67959595,6174.357986,15470,7240,7080,,,,,,,,7110,1120,,15470,7240,7080
1/22/2025 0:00,cheetah-20,1.867286086,243.089447,5076.780273,1905.142822,97.9549408,6247.340393,15700,7240,7090,,,,,,,,7030,1050,,15700,7240,7090
2/14/2025 0:00,cheetah-20,1.896484256,267.2891846,4077.039307,1383.942871,98.45133972,6605.519867,15840,7550,7340,,,,,,,,7490,1090,,15840,7550,7340
2/19/2025 0:00,cheetah-20,1.876656294,269.7120667,4085.431152,1416.120972,98.27770996,6533.729553,15870,7650,7480,,,,,,,,7610,1100,,15870,7650,7480
3/13/2025 0:00,cheetah-20,1.878854632,263.4501953,5186.026367,1900.382935,98.14215088,6335.570145,15910,7310,7110,,,,,,,,7180,1080,,15910,7310,7110
4/8/2025 0:00,cheetah-20,1.838632584,420.0928345,5830.429199,1833.879272,114.5046387,6854.640961,15530,7390,7170,,,,,,,,7170,1180,,15530,7390,7170
4/23/2025 0:00,cheetah-20,1.866623521,407.9193726,5914.786133,1956.454834,113.2237854,6692.264557,15360,7560,7330,,,,,,,,7360,1180,,15360,7560,7330
4/28/2024 0:00,elephant-21,0,156.3826245,826.5062502,63.94572309,78.21191538,9226.312891,,,,,,,,,,,,,,,,
4/29/2024 0:00,elephant-21,1.031174514,386.8022241,4278.698301,1763.670848,91.77014752,7373,,,,,,,,,,,10150,1050,,,,
4/30/2024 0:00,elephant-21,2.05824866,519.0582597,6900.800683,3413.150585,103.2919679,5052.5,,,,,,,,,,,7350,1180,,,,
5/1/2024 0:00,elephant-21,2.061380789,596.8141985,6449.114415,3308.579657,102.9111338,4869.620566,,,,,,,,,,,7040,1180,,,,
