Date,WT GL,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast Last RoFo,Forecast IB-25
2023-07-08 00:00:00,2.000002,9896.300019,5799.199999,103.304179548731,4140,11700,11720,11580,,,,,,
2023-07-09 00:00:00,2.047590882181265,9710.19266344903,5747.317367609321,102.898644367001,4079.9999999999995,8840,8890,8380,,,,,,
2023-07-10 00:00:00,2.0595250824335736,9165.957347917436,5548.331046676898,101.90820092048972,3946.6134036849894,8440,8490,8150,,,,,,
2023-07-11 00:00:00,2.05663446666814,8890.1396536366,5600.929964788269,101.2478594832935,3699.6008241950803,8210,8250,7930,,,,,,
2023-07-12 00:00:00,,,,,,9380,9410,9260,,,,,,
2023-07-13 00:00:00,,,,,,8140,8190,7840,,,,,,
2023-07-14 00:00:00,,,,,,7900,7940,7590,,,,,,
2023-07-15 00:00:00,,,,,,7770,7810,7460,,,,,,
2023-07-16 00:00:00,,,,,,7630,7670,7320,,,,,,
2023-07-17 00:00:00,,,,,,7510,7550,7210,,,,,,
2023-07-18 00:00:00,,,,,,7390,7420,7080,,,,,,
2023-07-19 00:00:00,,,,,,7290,7330,7000,,,,,,
2023-07-20 00:00:00,,,,,,7210,7240,6920,,,,,,
2023-07-21 00:00:00,,,,,,7100,7130,6810,,,,,,
2023-07-22 00:00:00,,,,,,7000,7030,6700,,,,,,
2023-07-23 00:00:00,,,,,,6900,6940,6610,,,,,,
2023-07-24 00:00:00,,,,,,6800,6830,6490,,,,,,
2023-07-25 00:00:00,,,,,,6680,6710,6360,,,,,,
2023-07-26 00:00:00,,,,,,6820,6850,6530,,,,,,
2023-07-27 00:00:00,,,,,,8030,8050,7850,,,,,,
2023-07-28 00:00:00,,,,,,6650,6680,6330,,,,,,
2023-07-29 00:00:00,,,,,,6480,6510,6110,,,,,,
2023-07-30 00:00:00,,,,,,6400,6440,6030,,,,,,
2023-07-31 00:00:00,2.0412295115053,6503,4729.460911051901,105.860975167141,2727.262938563892,6420,6460,6070,,,,,,
2023-08-01 00:00:00,,,,,,6340,6370,5980,,,,,,
2023-08-02 00:00:00,,,,,,6300,6330,5940,,,,,,
2023-08-03 00:00:00,2.039170266706825,9400.694592687054,0.09181244307364977,147.995756684388,9999.90233446739,6250,6280,5890,,,,,,
2023-08-04 00:00:00,2.05627832590759,9212.35396477072,0.0899380130267673,145.495805016621,9999.90237238672,6210,6250,5860,,,,,,
2023-08-05 00:00:00,,,,,,6160,6200,5810,,,,,,
2023-08-06 00:00:00,,,,,,6140,6170,5800,,,,,,
2023-08-07 00:00:00,,,,,,6110,6140,5760,,,,,,
2023-08-08 00:00:00,1.2740681038141866,8592.976120595282,0.08389719334627443,120.52233239919035,9999.902365230018,6080,6110,5740,,,,,,
2023-08-09 00:00:00,1.2585644096663833,8235.840963813776,0.08042205607125652,119.02526177179966,9999.90235110319,6060,6090,5720,,,,,,
2023-08-10 00:00:00,1.27636808333833,7963.179694751206,0.07774684169786876,117.96507474017334,9999.902367033672,6020,6050,5680,,,,,,
2023-08-11 00:00:00,,,,,,5990,6020,5660,,,,,,
2023-08-12 00:00:00,,,,,,5970,6000,5640,,,,,,
2023-08-13 00:00:00,,,,,,5950,5980,5620,,,,,,
2023-08-14 00:00:00,,,,,,5920,5950,5590,,,,,,
2023-08-15 00:00:00,,,,,,5900,5930,5580,,,,,,
2023-08-16 00:00:00,2.0495638062344903,5733.853486083903,4308.082155031101,103.32891996146556,2486.5848674249473,5910,5930,5590,,,,,,
2023-08-17 00:00:00,,,,,,5870,5900,5560,,,,,,
2023-08-18 00:00:00,,,,,,5860,5890,5550,,,,,,
2023-08-19 00:00:00,,,,,,5850,5880,5540,,,,,,
2023-08-20 00:00:00,,,,,,5830,5860,5520,,,,,,
2023-08-21 00:00:00,,,,,,5820,5850,5510,,,,,,
2023-08-22 00:00:00,,,,,,5820,5850,5510,,,,,,
2023-08-23 00:00:00,,,,,,5810,5840,5500,,,,,,
2023-08-24 00:00:00,,,,,,5800,5830,5500,,,,,,
2023-08-25 00:00:00,,,,,,5770,5800,5460,,,,,,
2023-08-26 00:00:00,,,,,,5740,5760,5430,,,,,,
2023-08-27 00:00:00,,,,,,6270,6290,6070,,,,,,
2023-08-28 00:00:00,,,,,,7080,7100,6890,,,,,,
2023-08-29 00:00:00,,,,,,5810,5840,5530,,,,,,
2023-08-30 00:00:00,,,,,,5760,5780,5480,,,,,,
2023-08-31 00:00:00,,,,,,5710,5740,5430,,,,,,
2023-09-01 00:00:00,,,,,,5700,5730,5420,,,,,,
2023-09-02 00:00:00,,,,,,5680,5700,5390,,,,,,
2023-09-03 00:00:00,,,,,,5670,5700,5380,,,,,,
2023-09-04 00:00:00,,,,,,5660,5690,5370,,,,,,
2023-09-05 00:00:00,,,,,,5640,5670,5350,,,,,,
2023-09-06 00:00:00,,,,,,5660,5680,5370,,,,,,
2023-09-07 00:00:00,,,,,,5640,5660,5350,,,,,,
2023-09-08 00:00:00,,,,,,5630,5650,5350,,,,,,
2023-09-09 00:00:00,,,,,,5610,5640,5330,,,,,,
2023-09-10 00:00:00,,,,,,5620,5640,5340,,,,,,
2023-09-11 00:00:00,,,,,,5600,5620,5320,,,,,,
2023-09-12 00:00:00,,,,,,5580,5610,5300,,,,,,
2023-09-13 00:00:00,,,,,,5590,5610,5310,,,,,,
2023-09-14 00:00:00,,,,,,5570,5590,5290,,,,,,
2023-09-15 00:00:00,,,,,,5570,5590,5300,,,,,,
2023-09-16 00:00:00,,,,,,5560,5580,5290,,,,,,
2023-09-17 00:00:00,,,,,,5540,5560,5270,,,,,,
2023-09-18 00:00:00,,,,,,5990,6010,5750,,,,,,
2023-09-19 00:00:00,2.0154445398814906,5000.21852940468,3240.112529555958,105.22029699166275,3520.058152454945,5620,5640,5360,,,,,,
2023-09-20 00:00:00,,,,,,5560,5580,5290,,,,,,
2023-09-21 00:00:00,,,,,,5720,5740,5490,,,,,,
2023-09-22 00:00:00,,,,,,6040,6070,5800,,,,,,
2023-09-23 00:00:00,,,,,,5580,5600,5320,,,,,,
2023-09-24 00:00:00,,,,,,5550,5570,5290,,,,,,
2023-09-25 00:00:00,,,,,,5530,5550,5260,,,,,,
2023-09-26 00:00:00,,,,,,5530,5550,5260,,,,,,
2023-09-27 00:00:00,,,,,,5520,5540,5260,,,,,,
2023-09-28 00:00:00,2.0706350256904837,4677.373455501885,3105.8056164950603,107.13038385899361,3359.9366267370115,5550,5570,5300,,,,,,
2023-09-29 00:00:00,,,,,,5500,5520,5240,,,,,,
2023-09-30 00:00:00,,,,,,5510,5530,5260,,,,,,
2023-10-01 00:00:00,,,,,,5500,5520,5250,,,,,,
2023-10-02 00:00:00,,,,,,5490,5510,5240,,,,,,
2023-10-03 00:00:00,,,,,,5680,5700,5480,,,,,,
2023-10-04 00:00:00,,,,,,5920,5940,5680,,,,,,
2023-10-05 00:00:00,,,,,,5520,5540,5280,,,,,,
2023-10-06 00:00:00,2.0342314385278084,4808.638995805035,2992.3161728920713,107.12190478615081,3777.207697432661,5550,5570,5320,,,,,,
2023-10-07 00:00:00,,,,,,5480,5500,5240,,,,,,
2023-10-08 00:00:00,,,,,,5470,5490,5220,,,,,,
2023-10-09 00:00:00,,,,,,5460,5480,5220,,,,,,
2023-10-10 00:00:00,,,,,,5450,5470,5200,,,,,,
2023-10-11 00:00:00,,,,,,5440,5460,5200,,,,,,
2023-10-12 00:00:00,,,,,,5430,5450,5190,,,,,,
2023-10-13 00:00:00,,,,,,5420,5440,5180,,,,,,
2023-10-14 00:00:00,,,,,,5420,5440,5170,,,,,,
2023-10-15 00:00:00,,,,,,5410,5430,5170,,,,,,
2023-10-16 00:00:00,,,,,,5400,5420,5160,,,,,,
2023-10-17 00:00:00,,,,,,5410,5430,5180,,,,,,
2023-10-18 00:00:00,,,,,,5410,5430,5180,,,,,,
2023-10-19 00:00:00,,,,,,5410,5430,5180,,,,,,
2023-10-20 00:00:00,,,,,,5400,5420,5180,,,,,,
2023-10-21 00:00:00,2.0467193824790635,4502.262690739886,2764.614255187269,106.55992996404578,3859.5003333025384,5470,5490,5260,,,,,,
2023-10-22 00:00:00,,,,,,5420,5440,5190,,,,,,
2023-10-23 00:00:00,,,,,,5410,5430,5180,,,,,,
2023-10-24 00:00:00,,,,,,5420,5430,5190,,,,,,
2023-10-25 00:00:00,,,,,,5420,5430,5190,,,,,,
2023-10-26 00:00:00,,,,,,5400,5420,5180,,,,,,
2023-10-27 00:00:00,,,,,,5390,5410,5170,,,,,,
2023-10-28 00:00:00,,,,,,7060,7070,7110,,,,,,
2023-10-29 00:00:00,,,,,,8870,8880,9100,,,,,,
2023-10-30 00:00:00,,,,,,9220,9220,9440,,,,,,
2023-10-31 00:00:00,,,,,,9430,9430,9640,,,,,,
2023-11-01 00:00:00,,,,,,9580,9580,9770,,,,,,
2023-11-02 00:00:00,,,,,,9690,9690,9880,,,,,,
2023-11-03 00:00:00,,,,,,9790,9790,9980,,,,,,
2023-11-04 00:00:00,,,,,,9870,9870,10060,,,,,,
2023-11-05 00:00:00,,,,,,9940,9950,10130,,,,,,
2023-11-06 00:00:00,,,,,,10010,10010,10200,,,,,,
2023-11-07 00:00:00,,,,,,10070,10070,10250,,,,,,
2023-11-08 00:00:00,,,,,,10120,10120,10310,,,,,,
2023-11-09 00:00:00,,,,,,10170,10170,10360,,,,,,
2023-11-10 00:00:00,,,,,,10220,10220,10410,,,,,,
2023-11-11 00:00:00,,,,,,10260,10260,10450,,,,,,
2023-11-12 00:00:00,,,,,,10300,10310,10490,,,,,,
2023-11-13 00:00:00,,,,,,9050,9060,9010,,,,,,
2023-11-14 00:00:00,,,,,,6180,6210,5860,,,,,,
2023-11-15 00:00:00,,,,,,5840,5860,5600,,,,,,
2023-11-16 00:00:00,,,,,,5720,5740,5510,,,,,,
2023-11-17 00:00:00,,,,,,5660,5680,5460,,,,,,
2023-11-18 00:00:00,,,,,,5630,5640,5430,,,,,,
2023-11-19 00:00:00,,,,,,5580,5600,5390,,,,,,
