Date,WT GL,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast Last RoFo,Forecast IB-25
2024-04-28 00:00:00,0,826.5062501653368,63.94572309053535,78.21191537941219,9226.31289143012,,,,,,,,,
2024-04-29 00:00:00,1.0311745143756492,4278.698300836827,1763.6708484788987,91.77014751992758,7373,,,,,,,,,
2024-04-30 00:00:00,2.0582486602665635,6900.800682935247,3413.15058456683,103.29196786708316,5052.500000000001,,,,,,,,,
2024-05-01 00:00:00,2.0613807893512313,6449.11441504068,3308.5796574273472,102.9111337886669,4869.620566124073,,,,,,,,,
2024-05-02 00:00:00,2.057492297882371,6250.659813381839,3285.280366749802,102.05915033818546,4743.78380621971,,,,,,,,,
2024-05-05 00:00:00,2.03124948252839,6153.65092790632,3347.174398677675,100.633335178504,4560.66904364285,,,,,,,,,
2024-05-17 00:00:00,2.059577225098998,4555.9558282306025,2854.23685531334,99.73915269654808,3735.1524840796346,,,,,,,,,
2024-05-28 00:00:00,2.03572285451212,3273.11095734696,2853.3400785693734,94.4234107369705,1282.4828863053099,,,,,,,,,
2024-06-05 00:00:00,2.071685350765918,2479.420869928782,2224.9976270059665,90.79770394748492,1026.1397974363394,,,,,,,,,
2024-06-11 00:00:00,,,,,,4210,4220,10830,,,,,,
2024-06-12 00:00:00,,,,,,4300,4240,10960,,,,,,
2024-06-13 00:00:00,,,,,,4510,4490,11070,,,,,,
2024-06-14 00:00:00,,,,,,4260,4230,11170,,,,,,
2024-06-15 00:00:00,,,,,,4300,4210,11260,,,,,,
2024-06-16 00:00:00,,,,,,4190,4160,11340,,,,,,
2024-06-17 00:00:00,,,,,,4280,4160,11410,,,,,,
2024-06-18 00:00:00,,,,,,4170,4110,11480,,,,,,
2024-06-19 00:00:00,,,,,,4150,4170,11550,,,,,,
2024-06-20 00:00:00,,,,,,4100,4150,11600,,,,,,
2024-06-21 00:00:00,,,,,,4120,4080,11660,,,,,,
2024-06-22 00:00:00,,,,,,4180,4090,11710,,,,,,
2024-06-23 00:00:00,,,,,,4110,4090,11760,,,,,,
2024-06-24 00:00:00,,,,,,4150,4100,11800,,,,,,
2024-06-25 00:00:00,,,,,,4200,4010,11850,,,,,,
2024-06-26 00:00:00,,,,,,4080,4130,11880,,,,,,
2024-06-27 00:00:00,,,,,,4050,4080,11920,,,,,,
2024-06-28 00:00:00,,,,,,4140,4100,11950,,,,,,
2024-06-29 00:00:00,,,,,,4100,4070,11990,,,,,,
2024-06-30 00:00:00,,,,,,4050,4000,12020,,,,,,
